"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04144","Endocytosis","243/7005","244/7860",1.24506819755266e-11,3.94686618624192e-09,1.99210911608425e-09,"9744/23527/116983/116987/116986/116988/273/160/161/163/1173/1175/116985/116984/64411/375/377/381/382/55738/84364/26286/10565/10564/10552/10095/10109/10094/10093/10092/81873/408/409/50807/8853/55616/274/829/830/832/857/858/859/867/868/23624/1234/998/5119/57132/27243/25978/51652/29082/128866/92421/51510/79643/91782/1211/1212/1213/8218/3577/3579/7852/9267/9266/9265/27128/1601/9829/1759/1785/26052/8411/1956/10938/30846/30845/30844/29924/22905/55040/2060/58513/2263/2261/2264/2348/2350/2352/8729/28964/9815/6011/156/157/2868/2869/2870/131890/9146/3105/3106/3107/3133/3134/3135/3265/3303/3304/3305/3306/3310/3312/3480/3482/3559/3560/3561/9922/23096/440073/9798/83737/390243/3798/3799/3800/3949/26119/4193/93343/89853/4734/23327/56288/50855/84612/84552/10015/5156/8394/8395/23396/138429/5337/5338/5371/5584/5590/5662/84249/23362/23550/10890/8766/9230/80223/22841/9727/84440/26056/57403/11031/11021/5867/5868/5869/5878/7879/4218/9135/64145/387/100526767/10193/80230/6455/6456/6457/51100/56904/30011/4087/4088/60682/64744/57154/64750/11267/6642/29934/6643/8724/254122/8723/27131/58533/23111/51324/6714/8027/10254/10617/7037/7046/7048/7189/7251/7314/9101/84313/9559/112936/51160/51699/55737/51028/137492/79720/55048/155382/11311/27183/9525/51534/7454/100287171/387680/253725/51019/23325/9897/8976/7456/147179/644150/11059/9765/118813/9372",243
"hsa04510","Focal adhesion","198/7005","199/7860",2.12200488414917e-09,3.36337774137643e-07,1.69760390731934e-07,"60/71/87/81/207/208/10000/2909/394/572/9564/596/329/330/673/824/857/858/859/595/894/896/998/1101/1277/1278/1280/1282/1284/1285/1286/1287/1288/1291/1292/1293/256076/131873/1297/1298/1299/1311/1398/1399/1499/1729/1793/1950/1956/2002/2064/2316/2317/2318/2321/2324/2335/2534/2885/2932/3082/3265/3381/3479/3480/3611/3672/8515/22801/3673/3674/3675/3676/3678/3655/3679/8516/3680/3685/3688/3690/3691/3693/3694/3695/3696/3725/3791/284217/3908/3909/3910/3911/3912/3913/3914/22798/3915/3918/10319/5604/5594/5602/5595/5599/5601/4233/93408/10627/103910/4633/4636/58498/10398/4638/85366/91807/340156/29895/5058/5062/5063/10298/57144/56924/106821730/55742/29780/64098/5154/5155/56034/80310/5156/5159/5170/5228/5290/5291/5293/5295/5296/8503/23396/5499/5500/5501/4659/4660/54776/5578/5579/5582/5728/5747/5829/5879/5880/5894/5906/5908/2889/5923/5649/387/6093/9475/6464/25759/53358/399694/6654/6655/6696/6714/7057/7058/7059/7060/7094/83660/3371/63923/7143/7148/7408/7409/7410/10451/7414/7422/7423/7424/2277/7448/7450/331/7791",198
"hsa04010","MAPK signaling pathway","287/7005","295/7860",9.6828350634209e-08,1.02315290503481e-05,5.16417870049115e-06,"207/208/10000/284/285/51378/369/374/408/409/1386/468/627/673/773/774/775/776/777/778/8913/8912/8911/779/781/9254/55799/93589/782/783/784/785/10369/10368/27092/27091/59285/59284/59283/836/929/994/998/1147/1398/1399/1435/1436/1616/1649/1843/11221/80824/1844/1845/1846/1847/1848/1849/1850/1852/51295/1942/1943/1944/1945/1946/1950/1956/2002/2005/1969/2064/2065/2066/2069/355/356/2246/2255/8823/8822/8817/9965/2247/26281/26291/27006/8074/2249/2250/2252/2253/2254/2260/2263/2261/2264/2316/2317/2318/2321/2322/2323/2324/2353/1647/4616/10912/2768/55970/2885/3082/3265/3303/3304/3305/3306/3310/3312/3315/3479/3480/3481/3551/8517/3552/3553/3554/3556/3643/3654/51135/8681/3725/3727/3791/3815/4254/3845/8649/5604/5605/5606/6416/5607/5608/5609/4214/4296/7786/9175/9020/10746/51776/4215/4216/4217/9064/6885/1326/11184/5871/8491/9448/5594/5602/5600/6300/5603/1432/5595/5598/5599/9479/23542/23162/5601/9261/7867/8550/4137/4149/2122/4208/4233/8569/2872/22808/4609/4615/4763/4772/4775/4790/4791/4803/4804/51701/3164/4893/4908/4909/4914/4915/5058/5062/5154/5155/56034/80310/5156/5159/5228/5321/100137049/8605/283748/123745/255189/5494/5495/5530/5532/5533/5534/5536/100506012/5566/5567/5578/5579/5582/84867/5778/5801/5879/5880/5894/5906/5908/9693/5921/5922/5923/5924/10125/10235/25780/115727/5970/5971/6195/6196/6197/8986/9252/27330/6237/22800/6654/6655/6722/6788/6789/3925/10454/23118/57551/9344/51347/7010/7039/7042/7043/7046/7048/7124/7132/7157/8717/7186/7189/7422/7423/7424/2277",287
"hsa04360","Axon guidance","179/7005","181/7860",1.91118309355658e-07,1.51461260164359e-05,7.64473237422631e-06,"25/3983/84448/22885/23365/655/658/659/91653/815/816/817/818/998/1020/1072/1073/6387/7852/1630/1808/56896/1942/1943/1944/1945/1946/1947/1948/1949/55740/2041/1969/2042/2043/2044/285220/2045/2046/2047/2048/2049/2050/2051/2242/2534/7976/151449/2770/2771/2773/2932/3265/3611/3688/3845/3897/3984/3985/64101/57689/5594/5595/4233/10627/103910/4636/10398/4690/8440/4756/4773/4775/4776/25791/4893/8829/9423/4917/59277/22854/84628/5058/5062/5063/10298/57144/56924/106821730/56288/50855/84612/84552/5163/5290/5291/5293/5295/5296/8503/5335/5336/5361/5362/55558/91584/5364/23654/5365/10154/5530/5532/5533/5534/5578/5590/5727/5747/5781/5879/5880/5894/5921/56963/5998/387/29984/27289/6091/6092/64221/6093/9475/6237/6259/10371/7869/10512/223117/9723/6405/56920/64218/10509/54910/10507/10505/57715/9037/54437/57556/10501/10500/80031/8482/6469/6585/9353/6586/6608/6714/57522/23380/9901/54434/85464/54961/7220/7222/7223/7224/7225/90249/219699/8633/137970/54361/7474/81029",179
"hsa04062","Chemokine signaling pathway","187/7005","190/7860",5.96101973987764e-07,3.31108770930683e-05,1.67121146211071e-05,"107/108/109/196883/111/112/113/114/115/207/208/10000/408/409/572/9564/673/6346/6356/6357/6358/6359/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/10344/56477/6348/6349/414062/6351/9560/388372/6352/6354/6355/1230/2826/729230/1232/1233/1234/1235/1236/1237/10803/998/1147/1398/1399/6376/1524/2919/3627/6373/6387/10563/9547/58191/2920/2921/6374/6372/3576/4283/3577/3579/2833/7852/643/10663/1794/9844/2268/2309/2770/2771/2773/2782/2783/2784/59345/10681/2790/2791/55970/51764/54331/2785/2786/2787/2788/94235/2792/2793/2885/6011/156/157/2868/2869/2870/131890/2931/2932/3055/3265/3551/8517/3702/3717/3718/3845/4067/5604/5594/5595/653361/4790/4792/4793/4893/5058/56288/5196/5197/5290/5291/5293/5294/5295/5296/8503/23533/146850/23236/5330/5331/5332/5473/57580/5566/5567/5579/5580/5590/5747/2185/5829/5879/5880/5894/5906/5908/10235/5970/387/6093/9475/6464/25759/53358/399694/6654/6655/6714/6772/6773/6774/6777/7074/7409/7410/10451/7454/8976/6375/6846/2829",187
"hsa04142","Lysosome","123/7005","123/7860",6.26704298291514e-07,3.31108770930683e-05,1.67121146211071e-05,"20/23457/53/54/175/162/164/8906/8907/10053/1174/8905/130340/8546/8120/8943/26985/10947/1176/10239/10717/23431/9179/11154/410/411/22901/427/537/535/23545/50617/533/527/9114/245972/51606/8763/967/968/1201/1203/1211/1212/1213/8218/1497/5476/1508/1075/1509/1510/8722/1511/1512/1513/1514/1519/1520/1515/1521/1522/1777/58511/9583/2517/2548/2581/2588/2629/26088/23062/23163/2717/2720/2760/79158/84572/2799/2990/3073/3074/138050/3373/3423/3425/3482/3916/3920/27074/9741/55353/7805/5641/3988/9516/4074/4125/4126/57192/256471/4668/4669/51172/9476/4758/4864/10577/23659/5538/9374/5660/768239/950/6448/6556/4891/26503/6609/6272/285362/10312/1200",123
"hsa04150","mTOR signaling pathway","151/7005","153/7860",3.72523582483363e-06,0.000158981469173707,8.02430128321548e-05,"207/84335/208/10000/523/525/526/528/245973/51382/529/90423/9296/9550/534/127124/51606/673/51719/81617/652968/729438/1147/6249/54541/9681/64798/1855/1856/1857/1975/1977/253314/9470/1978/201163/96459/57600/8321/11211/2535/7976/8322/7855/8323/8324/8325/8326/2887/2885/2932/3265/3479/3480/3551/3643/3667/3845/55004/28956/8649/389541/10542/23175/4041/4040/5604/5605/5594/5595/79109/54468/64223/2475/10641/8131/4893/5170/5290/5291/5293/5295/5296/8503/5562/5563/5578/5579/5582/55615/5728/5894/6009/387/253260/220441/6194/6195/6196/6197/27330/6198/6199/57521/10670/10325/64121/58528/6396/81929/83667/6446/6502/153129/6520/8140/6654/6655/6794/92335/55437/51256/107080638/9894/7124/7132/7248/7249/9675/8408/9706/84219/79726/7471/80326/7480/7481/51384/7472/7482/7473/89780/54361/7474/81029/7475/7476/7477/7479/7483/7484",151
"hsa04015","Rap1 signaling pathway","201/7005","206/7860",4.01215064160774e-06,0.000158981469173707,8.02430128321548e-05,"60/71/107/108/109/196883/111/112/113/114/115/135/136/4301/207/208/10000/284/285/51378/54518/64411/9564/673/801/805/808/810/91860/163688/998/999/1268/1398/1399/1435/1436/1499/1500/9732/1813/1942/1943/1944/1945/1946/1950/1956/1969/2149/9002/9855/2246/2255/8823/8822/8817/9965/2247/26281/26291/27006/8074/2249/2250/2252/2253/2254/2260/2263/2261/2264/2321/2324/2357/2533/2770/2771/2773/2775/2776/2778/2902/2903/2904/3082/3265/3397/3479/3480/3643/3674/3683/3684/3688/3689/3690/3791/3815/4254/3845/889/27040/3937/1902/9170/23566/2846/57121/9223/9863/260425/5604/5605/5606/5608/5594/5600/6300/5603/1432/5595/4233/22808/4803/4804/4893/5028/56288/50855/84612/84552/5154/5155/56034/80310/5156/5159/5216/5217/345456/375189/5228/5290/5291/5293/5295/5296/8503/23236/5330/5331/5332/51196/5335/5578/5579/5582/5584/5590/5587/25865/23683/5879/5880/5894/5898/5899/5900/5906/5908/5909/2889/9693/10411/11069/9771/51735/10235/25780/83593/10636/387/6237/6494/26037/57568/23094/8631/6714/7010/7057/7074/7094/83660/7408/7410/7422/7423/7424/2277",201
"hsa05166","Human T-cell leukemia virus 1 infection","213/7005","219/7860",5.44174312949412e-06,0.000181354177125978,9.15352313569605e-05,"107/108/109/196883/111/112/113/114/115/207/208/10000/64682/10393/51529/29882/29945/51433/51434/1386/468/1388/472/545/567/581/598/701/9184/811/821/8900/890/9133/595/894/896/898/9134/915/916/917/920/958/8881/991/8697/246184/996/1017/1019/1026/1029/1030/1031/1111/11200/1147/1385/10488/90993/64764/84699/148327/9586/1387/23373/200186/64784/1437/1739/1869/1870/1871/1958/1959/2002/2005/2033/9700/2113/2114/2224/2353/8061/2874/3105/3106/3107/3108/3109/3111/3112/3113/3115/3117/3118/3119/3122/3123/3127/3133/3134/3135/3265/3383/3551/8517/3600/3601/3554/7850/3558/3559/3560/3561/3569/3683/3689/3716/3718/3725/2648/8850/10524/3845/3932/4049/4055/8379/4085/5604/5605/6416/4214/9020/4215/5594/5602/5595/5599/5601/4316/4487/4488/4609/4772/4773/4775/4776/4790/4791/4792/4801/4893/8829/5290/5291/5293/5295/5296/8503/5423/5530/5532/5533/5534/5566/5567/5728/9232/10744/5901/5902/8498/5925/5970/5971/83447/291/292/293/6513/4087/4088/4089/6688/6722/6776/6777/6908/9519/387332/6929/7015/7042/7043/7046/7048/7094/83660/7124/115650/7132/7157/8295/706/55697/7416/7417/7419/331/7514",213
"hsa05168","Herpes simplex virus 1 infection","466/7005","492/7860",5.72095195981003e-06,0.000181354177125978,9.15352313569605e-05,"207/208/10000/10189/317/567/572/578/581/596/598/637/329/330/684/718/727/811/64170/836/841/842/6347/6352/972/5199/115004/1147/54205/1616/23586/27102/5610/9451/440275/1967/8892/8891/8890/8893/1965/1978/8772/355/356/3054/29915/284459/3105/3106/3107/3108/3109/3111/3112/3113/3115/3117/3118/3119/3122/3123/3127/3133/3134/3135/64135/3442/3454/3455/3458/3459/3460/3551/9641/8517/3592/3593/3553/3569/3654/51135/3661/3665/10379/3678/3690/3716/3717/4049/6885/57506/2475/4615/5818/4790/4792/10482/56000/55998/4938/4939/4940/2923/5290/5291/5293/5295/5296/8503/29992/5371/5451/5452/25833/5499/5500/5501/5781/57786/5970/6009/6041/9021/6672/6714/6732/6426/6427/6428/6429/6430/6431/6432/10929/8683/6772/6773/6850/10454/23118/6890/6891/6892/29110/7097/7098/54106/340061/7124/8764/7132/8740/7157/8717/7186/7187/7188/7189/7248/7249/7297/162239/57677/140612/22835/7539/346171/339559/65243/284406/146198/139735/284307/114026/7556/163227/94039/51427/7771/163071/7559/7678/7691/7692/7694/7695/7561/7699/7700/7710/7711/7712/90338/169841/7565/7728/7730/7733/339318/7569/7738/7743/7567/7748/7549/7568/7752/7755/7757/10520/7988/7761/7673/7767/7768/7769/7770/7772/7571/7773/353355/10780/9310/57209/219749/58500/90987/56242/9534/10172/113835/7574/9422/10308/10795/10793/10838/8427/284349/342909/26974/57335/729288/7551/90075/91975/55900/57343/282890/100131017/57693/162967/25799/388569/55422/84449/55713/26152/7581/7582/80778/79175/84671/59348/6940/117608/30832/7587/84911/163087/57541/342908/7592/55786/55659/147687/147686/79744/147923/155054/79088/353088/7594/80264/170959/9668/163059/80818/90594/51710/126070/79973/10224/7596/285676/10794/92283/90333/388566/57573/25888/147657/83744/90649/57474/57615/440515/22869/84874/340385/162655/84503/84436/57711/348327/147658/163255/125919/27300/339327/284306/147694/256051/162972/90233/79818/115196/148254/80032/79230/148156/84527/100529215/147741/93134/54811/147837/163050/147929/84924/163081/374900/148266/126295/148268/51276/84765/147948/147949/201514/199704/92285/84914/51385/152687/169270/146434/148103/162966/100289635/80095/84775/162963/81856/79898/80110/284370/90317/285267/253639/285268/9831/57547/199692/57232/121274/65251/26149/389114/79788/63934/79862/93474/79891/641339/171392/163223/342926/340252/91120/127396/146542/115509/374879/7553/90592/55762/440077/100131539/286075/7562/163051/349075/148206/441234/100131827/255403/170960/730087/442319/100287226/100129543/728927/7625/155061/388567/388561/284390/92595/91661/90321/79724/58492/400720/374928/27153/197320/284323/163131/158431/100289678/146540/136051/7633/388536/163049/126375/390927/90576/7554/347344/126017/730051/125893/55552/374899/55769/162962/7637/284371/91664/162993/7639/342892/54753/344787/729747/345462/101060200/7643/7644/81931/148198/7652/54925",466
